cfg_kind,cfg_n_steps,cfg_sigma,cfg_mu,cfg_phi,cfg_garch_alpha,cfg_garch_beta,cfg_break_step,cfg_vol_mult,cfg_mean_shift,cfg_innov,cfg_t_dof,cfg_label,exp_id,ewma_lambda,n_test,method,family,aci_gamma,coverage,mean_width,median_width,width_vs_oracle,frac_unbounded,cov_vol_low,width_ratio_vol_low,cov_vol_mid,width_ratio_vol_mid,cov_vol_high,width_ratio_vol_high,vol_cov_spread,cov_pre_break,cov_post_break,hole_depth,recovery_steps,recovered,cov_post_0_60,cov_post_60_150,cov_post_150_300,cov_post_300_600
break,2371,0.009420252974124639,0.0003199986870182179,0.0,0.0,0.0,1379,2.0,0.0,gaussian,0.0,break,123,0.9478052930649774,1500,aci_norm_g0.02,aci,0.02,0.8993333333333333,0.060075606486916844,0.06462104674980126,1.141889207185194,0.0,,,0.9015748031496063,1.0193575939076938,0.8981854838709677,1.2046372510813332,0.003389319278638503,0.9015748031496063,0.8981854838709677,0.8333333333333333,62.0,1.0,0.85,0.9222222222222223,0.9,0.9
break,2371,0.009420252974124639,0.0003199986870182179,0.0,0.0,0.0,1379,2.0,0.0,gaussian,0.0,break,123,0.9478052930649774,1500,aci_abs_g0.05,aci,0.05,0.8993333333333333,0.05888996207662305,0.06219566612338163,1.1310675003062303,0.03,,,0.8996062992125984,1.0466689014441588,0.8991935483870968,1.175660457478102,0.0004127508255016288,0.8996062992125984,0.8991935483870968,0.8333333333333333,60.0,1.0,0.8833333333333333,0.9,0.9066666666666666,0.9
break,2371,0.009420252974124639,0.0003199986870182179,0.0,0.0,0.0,1379,2.0,0.0,gaussian,0.0,break,123,0.9478052930649774,1500,aci_norm_g0.05,aci,0.05,0.8993333333333333,0.060693321799959066,0.061957589831701805,1.1580270396331962,0.009333333333333334,,,0.8996062992125984,1.0459488669571075,0.8991935483870968,1.216243513783966,0.0004127508255016288,0.8996062992125984,0.8991935483870968,0.8499999999999999,60.0,1.0,0.9,0.9,0.9,0.9
break,2371,0.014563018237133997,-9.434685864400104e-05,0.0,0.0,0.0,1484,1.0,-0.026453313239595933,student_t,10.0,break,124,0.9273518474657817,1500,oracle,oracle,,0.896,0.047216640372652156,0.04721664037265215,1.0,0.0,,,,,,,,0.8972267536704731,0.895152198421646,0.75,60.0,1.0,0.9666666666666667,0.8777777777777778,0.8533333333333334,0.91
break,2371,0.014563018237133997,-9.434685864400104e-05,0.0,0.0,0.0,1484,1.0,-0.026453313239595933,student_t,10.0,break,124,0.9273518474657817,1500,split_abs,conformal,,0.8753333333333333,0.05712545239886517,0.051486661326431704,1.2098584725217385,0.0,,,,,,,,0.8907014681892332,0.8647125140924464,0.5333333333333333,206.0,1.0,0.55,0.7111111111111111,0.88,0.9266666666666666
break,2371,0.014563018237133997,-9.434685864400104e-05,0.0,0.0,0.0,1484,1.0,-0.026453313239595933,student_t,10.0,break,124,0.9273518474657817,1500,split_norm,conformal,,0.908,0.062283962678590626,0.052803854877330664,1.3191104277437213,0.0,,,,,,,,0.9004893964110929,0.9131905298759865,0.8166666666666667,60.0,1.0,0.9166666666666666,0.9111111111111111,0.9066666666666666,0.9166666666666666
break,2371,0.014563018237133997,-9.434685864400104e-05,0.0,0.0,0.0,1484,1.0,-0.026453313239595933,student_t,10.0,break,124,0.9273518474657817,1500,cqr,conformal,,0.8886666666666667,0.06063423900297878,0.051542569083795745,1.2841709728695163,0.0,,,,,,,,0.9070146818923328,0.8759864712514093,0.5833333333333333,208.0,1.0,0.6,0.8,0.88,0.92
break,2371,0.014563018237133997,-9.434685864400104e-05,0.0,0.0,0.0,1484,1.0,-0.026453313239595933,student_t,10.0,break,124,0.9273518474657817,1500,raw_qr,baseline,,0.7413333333333333,0.04656890631245511,0.046357781028190694,0.9862816571639816,0.0,,,,,,,,0.8743882544861338,0.649379932356257,0.25,447.0,1.0,0.26666666666666666,0.3111111111111111,0.44666666666666666,0.7066666666666667
break,2371,0.014563018237133997,-9.434685864400104e-05,0.0,0.0,0.0,1484,1.0,-0.026453313239595933,student_t,10.0,break,124,0.9273518474657817,1500,param_gauss,baseline,,0.9186666666666666,0.07517099902284279,0.08646743178351789,1.5920446357378233,0.0,,,,,,,,0.8858075040783034,0.9413754227733935,0.6499999999999999,106.0,1.0,0.6666666666666666,0.8333333333333334,0.9266666666666666,0.9833333333333333
break,2371,0.014563018237133997,-9.434685864400104e-05,0.0,0.0,0.0,1484,1.0,-0.026453313239595933,student_t,10.0,break,124,0.9273518474657817,1500,aci_abs_g0.005,aci,0.005,0.9013333333333333,0.06098545611654407,0.051995857857783975,1.2916093909948496,0.0,,,,,,,,0.8972267536704731,0.9041713641488163,0.7166666666666666,96.0,1.0,0.7333333333333333,0.8888888888888888,0.9266666666666666,0.9333333333333333
